Code,Product,Quantity on Hand,Reserved,Available
80001,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3.5 g,12,0,12
80004,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g,96,0,96
80005,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g,48,0,48
80006,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g,60,0,60
80007,OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g,288,0,288
80008,OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3.5 g,104,0,104
80009,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g,96,0,96
80010,OMG OH MY GLAM Matte Kiss Lip Cream 10 Shell 3.5 g,44676,0,44676
80012,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g,20016,0,20016
80021,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 01 Juicy Strawberry,13824,0,13824
80022,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 02 Juicy Grapefruit,15748,0,15748
80023,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 03 Juicy Peach,17009,0,17009
80024,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum,16268,0,16268
80027,OMG OH MY GLOW Peach Glowing Face Wash 9 g,81704,0,81704
80028,OMG OH MY GLOW Peach Glowing Toner 100 ml,40248,0,40248
80029,OMG OH MY GLOW Peach Glowing Face Wash 50 g,15848,280,15568
80030,OMG Oh My Glow Peach Glowing Cream 7.5 g,81622,0,81622
80031,OMG Oh My Glow Peach Glowing Cream 25 g,1320,0,1320
80045,OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g,8640,0,8640
80046,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g,144,144,0
80048,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light,266,44,222
80050,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,2508,0,2508
80051,OMG Oh My Glam Coverlast Liquid Foundation 41 W Sand,44,0,44
T80014,OMG Oh My Glam Juicy Kiss Lip Tint Serum TESTER SET (5.3 g x 4),3110,0,3110
